betterzip,BetterZip (Application & QuickLook plugin),on
qlcolorcode,QLColorCode (QuickLook plugin),on
qlmarkdown,QLMarkdown (QuickLook plugin),on
qlstephen,QLStephen (QuickLook plugin),on
suspicious-package,Suspicious Package (Application & QuickLook plugin),off
colorpicker-skalacolor,Skala Color (Colorpicker),on
font-dejavu,DejaVu (Font),off
font-jetbrains-mono,JetBrains Mono (Font),off
font-noto-sans,Noto Sans (Font),off
font-noto-serif,Noto Serif (Font),off
font-roboto,Roboto (Font),off
font-roboto-mono,Roboto Mono (Font),off
1password,1Password (Application),off
adobe-acrobat-reader,Adobe Acrobat Reader DC (Application),off
adobe-creative-cloud,Adobe Creative Cloud (Application),off
airserver,AirServer (Application),off
alfred,Alfred (Application),off
android-studio,Android Studio (Application),off
sourcetree,Atlassian SourceTree (Application),on
bitwarden,Bitwarden (Application),off
caffeine,Caffeine (Application),off
canon-printer-driver,Canon MF Printer Driver & Utilities (Application),on
canon-scanner-driver,Canon Scanner Driver & Utilities (Application),on
coconutbattery,coconutBattery (Application),off
discord,Discord (Application),off
diskmaker-x,DiskMaker X (Application),off
docker,Docker CE (Application),off
balenaetcher,Etcher (Application),off
figma,Figma (Application),off
forticlient-offline,FortiClient (Application),on
atom,Github Atom (Application),on
google-chrome,Google Chrome (Application),on
google-drive,Google Drive (Application),on
grandperspective,GrandPerspective (Application),on
handbrake,HandBrake (Application),off
hex-fiend,Hex Fiend (Application),off
imageoptim,ImageOptim (Application),on
insomnia,Insomnia (Application),on
iina,IINA (Application),off
jd-gui,JD-GUI (Application),off
phpstorm,JetBrains PhpStorm (Application),on
pycharm,JetBrains PyCharm (Application),off
rubymine,JetBrains RubyMine (Application),off
jetbrains-toolbox,JetBrains Toolbox (Application),off
kap,Kap (Application),on
karabiner-elements,Karabiner Elements (Application),off
keepassxc,KeePassXC (Application),off
microsoft-office,Microsoft Office (Application),on
microsoft-teams,Microsoft Teams (Application),on
visual-studio-code,Microsoft VS Code (Application),on
mitel-connect,Mitel Connect (Application),on
firefox,Mozilla Firefox (Application),on
mysqlworkbench,MySQL Workbench (Application),on
ngrok,ngrok (Application),on
openemu,OpenEmu (Application),off
opera,Opera (Application),on
virtualbox,Oracle VirtualBox (Application),off
poedit,Poedit (Application),on
postman,Postman (Application),on
sketch,Sketch (Application),on
skype,Skype (Application),off
slack,Slack (Application),on
spotify,Spotify (Application),off
steam,Steam (Application),off
sublime-merge,Sublime Merge (Application),off
sublime-text,Sublime Text (Application),off
tableplus,TablePlus (Application),off
teamviewer,TeamViewer (Application),off
tunnelblick,Tunnelblick (Application),on
ukelele,Ukelele (Application),off
unetbootin,UNetbootin (Application),off
vagrant,Vagrant (Application),off
vlc,VLC media player (Application),off
wireshark,Wireshark (Application),off
